coid,year,ppo_year_avg
1101,2020,0.21920552176065758
1101,2021,0.3048509074580558
1101,2022,-0.42717163362891053
1101,2023,0.048103839558013006
1101,2024,-0.06358549509101775
1101,2025,-0.9811023345028301
1102,2020,-0.029585380213490768
1102,2021,0.14879596347121762
1102,2022,0.027603625025759183
1102,2023,0.10204440765804448
1102,2024,0.10202945650436565
1102,2025,-0.1571910299063317
1103,2020,-0.08247781122052511
1103,2021,0.2830406121126432
1103,2022,-0.22975696603172646
1103,2023,0.20894887704963508
1103,2024,-0.1286992918613989
1103,2025,-0.5480056356847203
1104,2020,0.4257846344327568
1104,2021,-0.03564814692812417
1104,2022,0.1456646052367956
1104,2023,0.6782753731835953
1104,2024,0.05548044835390114
1104,2025,0.3741731915538575
1108,2020,0.8011829836783115
1108,2021,-0.0011183420214613163
1108,2022,-0.04968035860154145
1108,2023,0.7739866107150919
1108,2024,-0.03435833751186128
1108,2025,0.23248535277647944
1109,2020,0.21032851395134644
1109,2021,0.08530860848830774
1109,2022,-0.31308378244110535
1109,2023,0.3447329540852317
1109,2024,0.10478830155145662
1109,2025,-0.2724337416169161
1110,2020,0.06820349611351101
1110,2021,0.22483783207936137
1110,2022,-0.20787618576710987
1110,2023,0.11850020086463212
1110,2024,0.18211171665729514
1110,2025,-0.6166778437639103
1201,2020,-0.1728490537836862
1201,2021,0.07965968742476086
1201,2022,-0.23082898234274815
1201,2023,0.028844256275269556
1201,2024,-0.09505129371391387
1201,2025,-0.46371583495040253
1203,2020,0.632091026517935
1203,2021,-0.17408014508826317
1203,2022,0.18321324299552522
1203,2023,0.8483841261589601
1203,2024,-0.4631462769546354
1203,2025,-0.017440727384108994
1210,2020,0.31867229261278024
1210,2021,0.33354271435796956
1210,2022,-0.16939470062570222
1210,2023,0.5256198143237547
1210,2024,-0.11662444127269478
1210,2025,0.09405967353188527
1213,2020,0.35880497125122207
1213,2021,0.11557704420622723
1213,2022,-0.30773070530238433
1213,2023,-0.02265419449512694
1213,2024,1.375380332280694
1213,2025,-0.9659967737589316
1215,2020,0.23364699324563365
1215,2021,0.32345626154382373
